label_action;tag_action;tag_operator;crm_case_subject;crm_case_category;crm_case_reason;active;Creation Case Auto
CLIP - Presentation du numero;crt_n2_opts_SVC_CLIP_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
CLIR - Liste rouge;crt_n2_opts_SVC_CLIR_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
RingBack Tone;crt_n2_opts_SVC_CRBT_activer;SONATEL;;;;true;true
Transfert d'appel;crt_n2_opts_SVC_CTS_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Appel en attente;crt_n2_opts_SVC_CWS_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
GPRS, inclus Internet + Wap + MMS;crt_n2_opts_SVC_GPRS_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Service LTE (4G);crt_n2_opts_SVC_LTE_activer;SONATEL;Gestion;GEST-ACTIVATION SERVICE;GEST-ACT-ACTIVATION SERVICE;true;true
Conference;crt_n2_opts_SVC_MPTY_activer;SONATEL;;;;true;true
Restriction operateur appels entrants;crt_n2_opts_SVC_OPER_BARRIN_activer;SONATEL;Gestion;GEST-RECOUVREMENT;GEST-REC-SUSPENSION SUITE IMPAYES;true;true
Restriction operateur appels sortants;crt_n2_opts_SVC_OPER_BARROUT_activer;SONATEL;Gestion;GEST-RECOUVREMENT;GEST-REC-SUSPENSION SUITE IMPAYES;true;true
