"sujet";"categorie";"motif"
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-CREATION DE DOSSIER (  LEAD)_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-DEMANDE D'INFOS ABONNEMENT _ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-DEMANDE DOCUMENTATION (MANUEL D'UTILISATION)_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-DEMANDE FIDELISATION/CADEAUX_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-DEMANDES SUR LES CARACTERISTIQUES ET FONCTIONNALITES KIT_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-INFO CONTENU MESSAGE_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-INFOS  N° DE COMPTE _ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-INFOS DATE D'INSTALLATION_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-INFOS DELAI D'INSTALLATION_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-MIGRATION UPGRADE_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-OFFRES ET PRODUITS_ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-POINTS DE VENTE ET HORAIRES _ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-POINTS DE VENTE ET HORAIRES _ORANGE ENERGIE
Achat;ACHAT-INFORMATIONS_ORANGE ENERGIE;ACH-INF-PROCESS PAIEMENT ACOMPTE_ORANGE ENERGIE
